Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
85,Value Display,NAE167/Field Bus1.CH3.Parameters.CH3-PCWF-WSP,AV:3001283,,,1273.0,403.0,1245.8,394.9,54.4,16.1,89.15,53.17,,
86,Value Display,NAE167/Field Bus1.AH9.AH9 CWP-SS,BO:3001355,,,1208.0,320.0,1193.1,313.1,29.8,13.8,84.59,42.22,,
87,Value Display,NAE167/Field Bus1.CH3.Parameters.Tower Evaporation,AV:3001266,,,222.0,64.0,190.0,55.6,64.0,16.8,15.55,8.44,,
88,Value Display,NAE167/Field Bus1.CH3.CH3-TF1-SS,BO:3001235,,,175.0,91.0,151.7,83.2,46.6,15.7,12.25,12.01,,
89,Value Display,NAE167/Field Bus1.CH3.Parameters.CH3-STH-OA-WB,AV:3001278,,,392.0,106.0,373.6,98.2,36.7,15.7,27.45,13.98,,
90,Value Display,NAE167/Field Bus1.CH3.CH3R-T,AI:3001213,,,820.0,568.0,804.0,559.7,32.1,16.5,57.42,74.93,,
91,Value Display,NAE167/Field Bus1.BNET-CH3.AV-40,AV:3002573,,,707.5,485.0,690.0,477.2,35.0,15.7,49.54,63.98,,
92,Value Display,NAE167/Field Bus1.CH3.Parameters.CH3-LOAD,AV:3001261,,,650.5,539.7,617.0,532.5,67.0,14.3,45.55,71.2,,
93,Value Display,NAE167/Field Bus1.CH3.Parameters.CH3-NTH-OA-WB,AV:3001277,,,90.0,109.0,71.6,101.2,36.7,15.7,6.3,14.38,,
94,Value Display,NAE167/Field Bus1.BNET-CH3.AV-404,AV:3002587,,,533.0,718.0,516.2,708.0,33.5,20.0,37.32,94.72,,
95,Value Display,NAE45/Programming.Weather Station.OAWB-T,AV:3021786,,,527.0,104.8,508.6,97.0,36.7,15.7,36.9,13.83,,Point on NAE45 (outside the five controllers)
96,Value Display,NAE167/Field Bus1.CH3.CH3-TWMU-V2,AO:3001210,,,258.0,688.0,223.8,680.5,68.5,15.0,18.07,90.77,,
97,Value Display,NAE45/Programming.LBCS.Data Points.CH-SEQ,AV:3006658,,,1010.0,41.0,990.6,29.5,38.8,23.0,70.73,5.41,,Point on NAE45 (outside the five controllers)
98,Value Display,NAE167/Field Bus1.AH9.Parameters.BCW-LOAD,AV:3002175,,,1173.1,264.3,1140.9,255.5,64.3,17.5,82.15,34.86,,
99,Value Display,NAE167/Field Bus1.CH3.CH3-STH-OA-RH,AI:3001208,,,392.0,90.0,373.6,82.2,36.7,15.7,27.45,11.87,,
100,Value Display,NAE167/Field Bus1.CH3.CH3-AUTO,BI:3001224,,,714.0,541.7,693.9,535.0,40.1,13.4,50.0,71.46,,
101,Text Label,,,2017,,687.0,472.0,667.0,464.5,40.0,15.0,48.11,62.27,,
102,Value Display,NAE45/Programming.Weather Station.OA-RH,AV:3021784,,,527.0,83.8,508.6,76.0,36.7,15.7,36.9,11.06,,Point on NAE45 (outside the five controllers)
103,Value Display,NAE167/Field Bus1.CH3.CH3-TF2-SS,BO:3001192,,,266.0,91.0,242.7,83.2,46.6,15.7,18.63,12.01,,
104,Value Display,NAE167/Field Bus1.TRT-CH3.TW3-FCL,AI:3001305,,,363.0,382.0,338.8,373.8,48.5,16.5,25.42,50.4,,
105,Value Display,NAE167/Field Bus1.CH3.CH3-TW-LVL,AI:3001203,,,83.1,233.0,63.0,225.0,40.1,16.0,5.82,30.74,,
106,Value Display,NAE167/Field Bus1.CH3.CH3-ENABLE,BO:3001232,,,714.0,574.0,693.9,567.3,40.1,13.4,50.0,75.73,,
107,Value Display,NAE167/Programming.Data Points.CH3-AVG-AMPS,AV:3002606,,,835.0,444.0,817.0,436.5,36.0,15.0,58.47,58.58,,
108,Value Display,NAE167/Field Bus1.CH3.Parameters.TF-TWST-SP,AV:3001259,,,133.0,468.0,114.2,459.5,37.6,17.1,9.31,61.74,,
109,Value Display,NAE167/Field Bus1.AH9.BCU101 SF-SS,BO:3001342,,,1336.0,110.6,1319.5,104.2,33.0,12.8,93.56,14.59,,
110,Value Display,NAE167/Field Bus1.CH3.CH3-TWMU-V1,AO:3001209,,,259.0,644.0,224.8,636.5,68.5,15.0,18.14,84.96,,
111,Value Display,NAE167/Field Bus1.CH3.CH3-PCW-F,AI:3001214,,,1233.9,466.0,1204.8,458.0,58.2,16.0,86.41,61.48,,
112,Value Display,NAE167/Field Bus1.BNET-CH3.AV-35,AV:3002568,,,854.0,410.0,824.6,402.5,58.8,15.0,59.8,54.09,,
113,Value Display,NAE167/Field Bus1.CH3.Parameters.LPSC-LOL,AV:3002030,,,1273.0,439.0,1251.0,431.2,44.0,15.6,89.15,57.92,,
114,Text Label,,,2017,,573.0,613.0,553.0,605.5,40.0,15.0,40.13,80.87,,
115,Value Display,NAE45/Programming.LBCS.Data Points.LCW-DP,AV:3006664,,,1273.0,421.0,1251.0,413.2,44.0,15.6,89.15,55.54,,Point on NAE45 (outside the five controllers)
116,Value Display,NAE167/Field Bus1.BNET-CH3.AV-5,AV:3002542,,,820.0,498.0,804.2,492.1,31.6,11.8,57.42,65.7,,
117,Value Display,NAE167/Field Bus1.BNET-CH3.AV-403,AV:3002586,,,533.0,697.0,516.2,687.0,33.5,20.0,37.32,91.95,,
118,Value Display,NAE167/Field Bus1.BNET-CH3.AV-402,AV:3002585,,,533.0,676.0,516.2,666.0,33.5,20.0,37.32,89.18,,
119,Value Display,NAE167/Field Bus1.CH3.CH3-STH-OA-DB,AI:3001207,,,392.0,74.0,373.6,66.2,36.7,15.7,27.45,9.76,,
120,Value Display,NAE167/Programming.PCW Data.LSC3-TP-KWpTon,AV:3001096,,,766.0,250.0,744.6,242.6,42.8,14.9,53.64,32.98,,
121,Value Display,NAE167/Field Bus1.CH3.CH3-TW-F,AI:3001217,,,358.0,558.0,329.8,550.0,56.4,16.0,25.07,73.61,,
122,Value Display,NAE167/Field Bus1.CH3.CH3-LP3-SC,AO:3021545,,,1080.0,463.2,1056.7,455.3,46.6,15.7,75.63,61.1,,
123,Value Display,NAE167/Field Bus1.AH9.AH9 SA-T,AI:3001349,,,1102.1,229.3,1083.5,220.5,37.2,17.5,77.18,30.25,,
124,Value Display,NAE167/Field Bus1.AH9.BCU101 ZN-T,AI:3001339,,,1182.2,139.0,1168.5,131.2,27.5,15.5,82.79,18.34,,
125,Value Display,NAE167/Programming.CH3-EMON.CH3-EMON-Amps,AV:3004407,,,854.0,363.0,824.6,355.5,58.8,15.0,59.8,47.89,,
126,Value Display,NAE167/Field Bus1.CH3.CH3-NTH-OA-DB,AI:3001205,,,90.0,76.0,71.6,68.2,36.7,15.7,6.3,10.03,,
127,Text Label,,,OC,,493.0,654.0,473.0,646.5,40.0,15.0,34.52,86.28,,
128,Value Display,NAE167/Field Bus1.AH9.AH9 CLG-VLV,AO:3001358,,,1121.0,304.0,1092.9,296.5,56.2,15.0,78.5,40.11,,
129,Value Display,NAE167/Field Bus1.AH9.AH9 SF-SS,BO:3001354,,,1283.1,214.3,1268.2,207.4,29.8,13.8,89.85,28.27,,
130,Value Display,NAE167/Programming.PCW Data.LSC3-AUX-KWpTon,AV:3000520,,,766.0,188.0,742.4,180.6,47.2,14.9,53.64,24.8,,
131,Value Display,NAE167/Field Bus1.KW-T3F1.AI-5,AI:3000369,,,124.0,135.0,105.2,128.0,37.5,14.0,8.68,17.81,,
132,Button (Link),,,YK Cycling Codes,umc-em-adx/Graphics.Chilled Water.Chillers.York YK Codes 2,644.0,698.0,581.5,689.0,125.0,18.0,45.1,92.08,,
133,Button (Link),,,YK OP/SAF/WRN Codes,umc-em-adx/Graphics.Chilled Water.Chillers.York YK Codes 1,645.0,678.0,570.2,669.0,149.5,18.0,45.17,89.45,,
134,Button (Link),,,CH3-FEC,NAE167/Field Bus1.CH3,698.5,423.5,654.0,412.0,89.0,23.0,48.91,55.87,,
135,Button (Link),,,BNET-CH3,NAE167/Field Bus1.BNET-CH3,699.5,448.5,655.0,437.0,89.0,23.0,48.98,59.17,,
136,Button (Link),,,AH9,NAE167/Field Bus1.AH9,1170.1,205.3,1139.0,196.3,62.1,18.0,81.94,27.08,,
137,Button (Link),,,TRT Graphic,umc-em-adx/Graphics.Chilled Water.Chillers.Twr Trt - Life Sci 3,374.0,289.0,323.0,280.0,102.0,18.0,26.19,38.13,,
138,Value Display,NAE167/Programming.LP-SC Control.DP Lo In,AV:3000581,,,989.5,387.0,966.2,379.2,46.6,15.7,69.29,51.06,,
139,Value Display,NAE167/Programming.LP-SC Control.DP Hi In,AV:3000583,,,989.5,408.0,966.2,400.2,46.6,15.7,69.29,53.83,,
140,Value Display,NAE167/Programming.LP-SC Control.DP Lo Reset,AV:3000582,,,1043.0,388.0,1019.7,380.2,46.6,15.7,73.04,51.19,,
141,Value Display,NAE167/Programming.LP-SC Control.DP Hi Reset,AV:3000584,,,1043.0,409.0,1019.7,401.2,46.6,15.7,73.04,53.96,,
142,Value Display,NAE167/Programming.LP-SC Control.MINLPDP-RS,AV:3000580,,,1096.5,395.0,1073.2,387.2,46.6,15.7,76.79,52.11,,
