Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
172,Value Display,NAE171/Field Bus2.BNET-CH3.CONDENSER PRESSURE,AV:3051065,,,576.0,705.0,553.6,698.5,44.8,13.0,40.0,93.87,,
173,Text Label,,,PID State,,1085.0,414.6,1059.5,406.6,51.0,16.0,75.35,55.2,,
174,Value Display,NAE171/Field Bus2.FEC-LP.BP Parameters.BCW-BP-WSP,AV:3050539,,,1305.0,272.5,1281.7,266.2,46.6,12.7,90.62,36.28,,
175,Value Display,NAE171/Field Bus2.BNET-CH1.ENTERING COND WATER TEMP,AV:3053214,,,554.0,275.5,542.2,269.8,23.5,11.5,38.47,36.68,,
176,Value Display,NAE171/Field Bus2.FEC-LP.BP Parameters.HRN BCW-LOAD,AV:3050594,,,1306.0,182.5,1261.5,172.5,89.0,20.0,90.69,24.3,,
177,Value Display,NAE171/Field Bus2.FEC-LP.LP Parameters.LP-SC PID Present Value,AV:3067593,,,1132.0,442.5,1113.3,436.5,37.4,12.0,78.61,58.92,,
178,Value Display,NAE171/Field Bus2.FAC-TOWER.TP2-SS,BO:3050796,,,92.0,651.5,73.2,644.6,37.6,13.7,6.39,86.75,,
179,Value Display,NAE171/Field Bus2.BNET-CH2.ENTERING CH LIQ TEMP,AV:3052802,,,867.0,466.5,855.2,460.8,23.5,11.5,60.21,62.12,,
180,Text Label,,,2019,,623.0,682.5,610.0,677.8,26.0,9.5,43.26,90.88,,
181,Value Display,NAE171/Field Bus2.FAC-TOWER.Parameters.TWBYP-V-SP,AV:3050888,,,168.0,369.5,149.1,361.5,37.8,16.0,11.67,49.2,,
182,Value Display,NAE171/Field Bus2.FEC-LP.LP1-SC,AO:3050507,,,1131.0,496.5,1112.2,489.6,37.6,13.7,78.54,66.11,,
183,Value Display,NAE171/Field Bus2.BNET-CH2.OPERATING HOURS,AV:3052821,,,783.0,511.5,755.2,505.1,55.6,12.8,54.37,68.11,,
184,Value Display,NAE171/Field Bus2.FEC-CH3.CH3-F,AI:3050686,,,924.0,610.5,900.5,603.0,47.0,15.0,64.17,81.29,,
185,Value Display,NAE171/Field Bus2.FEC-CH2.Parameters.CH2-LOAD,AV:3051605,,,713.0,459.5,678.8,451.5,68.5,16.0,49.51,61.19,,
186,Value Display,NAE171/Field Bus2.FEC-LP.LP3-SS,BO:3050510,,,1131.0,636.5,1112.2,629.6,37.6,13.7,78.54,84.75,,
187,Value Display,NAE171/Field Bus2.BNET-CH2.VSD OUTPUT FREQUENCY,AV:3052855,,,766.0,387.5,746.5,382.0,39.0,11.1,53.19,51.6,,
