Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
133,Value Display,NAE167/Field Bus1.BNET-CH2.AV-11,AV:3000058,,,493.0,714.0,476.1,706.0,33.8,16.0,31.6,85.0,,
134,Value Display,NAE167/Field Bus1.CH1.CH1-TWS-T,AI:3005856,,,556.0,325.0,537.2,317.0,37.5,16.0,35.64,38.69,,
135,Value Display,NAE167/Field Bus1.CH1.CH1-TW1-F,AI:3005855,,,384.0,319.0,359.5,310.6,49.0,16.8,24.62,37.98,,
136,Value Display,NAE167/Field Bus1.CH2.Parameters.CH2-LOAD,AV:3005919,,,684.0,675.0,652.5,668.2,62.9,13.5,43.85,80.36,,
137,Value Display,NAE167/Field Bus1.CH2.CH2-TW2-F,AI:3005832,,,309.8,656.0,286.5,647.6,46.5,16.8,19.86,78.1,,
138,Value Display,NAE167/Field Bus1.TRT-CH12.TW1-FCL,AI:3030757,,,203.2,282.0,179.0,274.2,48.5,15.5,13.03,33.57,,
139,Value Display,NAE167/Field Bus1.CH2.Parameters.FX-OAWB-SP,AV:3005891,,,1116.0,730.0,1098.0,722.6,35.9,14.7,71.54,86.9,,
140,Text Label,,,"OP
SAF
CYC
WRN",,495.0,599.0,475.0,567.0,40.0,64.0,31.73,71.31,,
141,Value Display,NAE167/Field Bus1.CH1.CH1-TW1-LVL,AI:3005859,,,87.0,157.0,63.9,149.7,46.1,14.7,5.58,18.69,,
142,Text Label,,,Comp,,834.0,110.0,815.5,101.5,37.0,17.0,53.46,13.1,,
143,Text Label,,,KW/Ton,,877.0,77.0,850.0,68.5,54.0,17.0,56.22,9.17,,
144,Value Display,NAE167/Field Bus1.CH1.CH1-TWBYP-V,AO:3005873,,,415.0,150.0,385.5,143.9,59.0,12.2,26.6,17.86,,
145,Value Display,NAE167/Field Bus1.CH1.CH1-CISO-V,BO:3005861,,,859.0,365.0,842.0,358.5,34.0,13.0,55.06,43.45,,
146,Value Display,NAE110/Programming.Chiller Plant Data.Data Points.LSC Primary Hkwp Ton,AV:3164705,,,879.0,111.0,858.6,104.0,40.8,14.0,56.35,13.21,,Point on NAE110 (outside the five controllers)
147,Value Display,NAE167/Field Bus1.BCW-MTR.AI-0,AI:3013184,,,1186.0,515.0,1161.3,507.0,49.4,16.0,76.03,61.31,,
148,Text Label,,,TP,,835.0,193.0,821.8,184.5,26.5,17.0,53.53,22.98,,
149,Value Display,NAE167/Field Bus1.CH2.CH2-TF1-SS,BO:3005846,,,150.0,423.0,132.8,416.0,34.5,14.0,9.62,50.36,,
150,Value Display,NAE167/Field Bus1.LP12.PCW-F,AI:3005746,,,1080.0,272.0,1056.2,263.9,47.5,16.2,69.23,32.38,,
151,Value Display,NAE72/N2 Trunk 1.DX-BCWS.BP2-SS,BO:3008946,,,1326.0,593.0,1309.5,587.0,33.0,12.0,85.0,70.6,,Point on NAE72 (outside the five controllers)
152,Text Label,,,Aux,,832.0,127.0,813.5,118.5,37.0,17.0,53.33,15.12,,
153,Value Display,NAE167/Field Bus1.LP12.Parameters.BCW-LOAD,AV:3005766,,,1503.0,660.0,1467.0,653.0,72.0,14.0,96.35,78.57,,
154,Value Display,NAE167/Field Bus1.CH1.Parameters.CH1-%LOAD,AV:3005966,,,672.0,362.2,643.1,354.5,57.8,15.5,43.08,43.12,,
155,Value Display,NAE167/Field Bus1.CH1.CH1-TP1-SC,AO:3027320,,,309.0,389.0,291.8,382.0,34.5,14.0,19.81,46.31,,
156,Value Display,NAE167/Field Bus1.TRT-CH12.TW1-ORP,AI:3005998,,,203.2,302.0,179.0,294.2,48.5,15.5,13.03,35.95,,
157,Value Display,NAE167/Field Bus1.CH1.CH1-TWR-T,AI:3005857,,,556.0,390.0,537.2,382.0,37.5,16.0,35.64,46.43,,
158,Value Display,NAE167/Field Bus1.CH1.CH1-TW1MU-F,AI:3005858,,,350.0,209.0,327.5,201.2,45.0,15.7,22.44,24.88,,
159,Value Display,NAE45/Programming.LBCS.Data Points.CH-SEQ,AV:3006658,,,1065.0,66.0,1042.7,54.3,44.7,23.3,68.27,7.86,,Point on NAE45 (outside the five controllers)
160,Value Display,NAE167/Field Bus1.LP12.LP2-VLV,BO:3005745,,,1203.0,317.0,1186.0,310.5,34.0,13.0,77.12,37.74,,
161,Value Display,NAE167/Field Bus1.BNET-CH2.AV-5,AV:3000064,,,856.6,650.0,841.2,642.0,30.8,16.0,54.91,77.38,,
162,Value Display,NAE167/Field Bus1.LP12.BCWR-T,AI:3005758,,,1298.0,372.0,1279.5,363.6,37.0,16.9,83.21,44.29,,
163,Value Display,NAE167/Field Bus1.CH2.Parameters.TWMU-LVL-SP,AV:3005922,,,85.0,506.0,66.1,499.0,37.8,14.0,5.45,60.24,,
164,Value Display,NAE72/N2 Trunk 1.UNT-GC.CHW-SWCH,BO:3008969,,,1387.0,718.0,1366.1,711.2,41.7,13.6,88.91,85.48,,Point on NAE72 (outside the five controllers)
165,Value Display,NAE72/N2 Trunk 1.DX-BCWS.BP-VLV,AO:3008936,,,1373.0,537.0,1339.4,529.5,67.2,15.0,88.01,63.93,,Point on NAE72 (outside the five controllers)
166,Value Display,NAE167/Field Bus1.CH2.CH2-BSNHT-V,BO:3005813,,,317.0,547.0,293.9,539.7,46.1,14.7,20.32,65.12,,
167,Value Display,NAE45/Programming.Weather Station.OA-RH,AV:3021784,,,730.5,111.0,709.9,102.0,41.1,18.0,46.82,13.21,,Point on NAE45 (outside the five controllers)
168,Value Display,NAE167/Field Bus1.TRT-CH12.TW2-ORP,AI:3006004,,,540.0,543.0,515.8,535.2,48.5,15.5,34.62,64.64,,
169,Value Display,NAE167/Field Bus1.CH2.CH2-CP2-SS,BO:3005844,,,913.0,741.0,895.8,734.0,34.5,14.0,58.53,88.21,,
170,Value Display,NAE167/Field Bus1.LP12.LP2-SS,BO:3005752,,,1054.0,334.0,1036.8,327.0,34.5,14.0,67.56,39.76,,
171,Value Display,NAE167/Field Bus1.CH2.CH2-TW2-LVL,AI:3005828,,,80.0,523.0,56.9,515.7,46.1,14.7,5.13,62.26,,
172,Value Display,NAE72/N2 Trunk 1.UNT-GC.BCWS-T2,AI:3008955,,,1348.0,777.0,1333.7,768.9,28.6,16.2,86.41,92.5,,Point on NAE72 (outside the five controllers)
173,Value Display,NAE72/N2 Trunk 1.DX-BCWS.Parameters.HI-CVLV,AO:3012618,,,1500.0,631.0,1482.8,624.0,34.5,14.0,96.15,75.12,,Point on NAE72 (outside the five controllers)
174,Value Display,NAE167/Field Bus1.CH2.CH2-TF2-SC,AO:3005843,,,224.0,440.9,206.8,433.9,34.5,14.0,14.36,52.49,,
175,Text Label,,,CH-SEQ,,1000.0,64.0,966.0,54.5,68.0,19.0,64.1,7.62,,
176,Value Display,NAE167/Field Bus1.BNET-CH2.AV-112,AV:3000101,,,753.7,640.0,735.0,633.6,37.3,12.8,48.31,76.19,,
177,Value Display,NAE72/N2 Trunk 1.AH-7.CLG-VLV,AO:3008813,,,1338.5,447.0,1309.0,439.3,59.0,15.4,85.8,53.21,,Point on NAE72 (outside the five controllers)
178,Value Display,NAE167/Field Bus1.CH2.Parameters.TWFlow-GPMSP,AV:3005902,,,332.0,629.0,307.0,620.6,50.0,16.8,21.28,74.88,,
179,Value Display,NAE167/Field Bus1.LP12.LCW-DP,AI:3005743,,,1446.0,256.0,1428.2,249.9,35.5,12.2,92.69,30.48,,
180,Value Display,NAE167/Field Bus1.TRT-CH12.TW2-FCL,AI:3005987,,,540.0,523.0,515.8,515.2,48.5,15.5,34.62,62.26,,
181,Value Display,NAE167/Field Bus1.CH1.CH1-HAND,BI:3005869,,,736.5,361.0,716.0,354.8,41.0,12.5,47.21,42.98,,
182,Value Display,NAE167/Field Bus1.LP12.DCPLR-V1,AO:3005754,,,992.5,247.9,963.0,241.8,59.0,12.2,63.62,29.51,,
183,Value Display,NAE167/Field Bus1.BNET-CH2.CH2 WARNING CODE,AV:3000118,,,525.0,625.0,512.2,616.5,25.5,17.0,33.65,74.4,,
184,Value Display,NAE167/Field Bus1.TRT-CH12.TW1-COND,AI:3032321,,,203.2,244.7,179.0,236.9,48.5,15.5,13.03,29.13,,
185,Value Display,NAE167/Field Bus1.CH3.CH3-STH-OA-RH,AI:3001208,,,596.0,119.0,576.7,112.5,38.5,13.0,38.21,14.17,,
186,Text Label,,,1,,623.0,307.0,619.5,299.0,7.0,16.0,39.94,36.55,,
187,Value Display,NAE167/Field Bus1.TRT-CH12.TW1-PH,AI:3032320,,,203.2,223.2,179.0,215.5,48.5,15.5,13.03,26.58,,
188,Value Display,NAE167/Field Bus1.BNET-CH2.CH2 CYCLE CODE,AV:3000117,,,525.0,610.0,512.2,601.5,25.5,17.0,33.65,72.62,,
189,Text Label,,,GCW-SP,,1458.0,811.0,1432.2,803.0,51.5,16.0,93.46,96.55,,
190,Value Display,NAE167/Field Bus1.BNET-CH2.CH2 SAFETY CODE,AV:3000116,,,525.0,593.0,512.2,584.5,25.5,17.0,33.65,70.6,,
191,Value Display,NAE167/Field Bus1.CH1.Parameters.TWFlow-GPM-WSP,AV:3027335,,,405.0,291.0,380.0,282.6,50.0,16.8,25.96,34.64,,
192,Value Display,NAE167/Programming.PCW Data.LSC12-TF-KWpTon,AV:3000556,,,880.0,213.0,859.6,206.0,40.8,14.0,56.41,25.36,,
193,Text Label,,,LP,,835.0,178.0,821.8,169.5,26.5,17.0,53.53,21.19,,
194,Value Display,NAE167/Field Bus1.CH2.Parameters.CH2-eRATE,AV:3005921,,,668.0,708.0,652.5,701.2,31.0,13.6,42.82,84.29,,
195,Value Display,NAE167/Field Bus1.CH1.CH1S-T,AI:3005853,,,809.0,327.0,790.2,319.0,37.5,16.0,51.86,38.93,,
196,Value Display,NAE167/Field Bus1.LP12.Parameters.PCWR-T,AV:3005767,,,1177.0,215.0,1157.0,207.8,40.0,14.5,75.45,25.6,,
197,Value Display,NAE167/Field Bus1.CH2.CH2-TF1-SC,AO:3005841,,,150.0,440.9,132.8,433.9,34.5,14.0,9.62,52.49,,
198,Value Display,NAE167/Field Bus1.CH1.Parameters.CH1-LOAD,AV:3005965,,,672.0,346.0,643.1,338.2,57.8,15.5,43.08,41.19,,
199,Value Display,NAE72/N2 Trunk 1.UNT-GC.GCWR-T,AI:3008953,,,1495.0,732.0,1480.7,723.9,28.6,16.2,95.83,87.14,,Point on NAE72 (outside the five controllers)
200,Value Display,NAE167/Field Bus1.CH2.CH2-TF2-SS,BO:3005812,,,224.0,424.0,206.8,417.0,34.5,14.0,14.36,50.48,,
201,Value Display,NAE167/Field Bus1.CH1.CH1-TF2-SS,BO:3005865,,,227.0,60.0,209.8,53.0,34.5,14.0,14.55,7.14,,
202,Value Display,NAE167/Field Bus1.CH2.Parameters.FX-LOAD,AV:3008037,,,684.0,785.0,646.5,777.5,75.0,15.0,43.85,93.45,,
203,Text Label,,,2004,,618.0,343.0,604.0,335.0,28.0,16.0,39.62,40.83,,
204,Value Display,NAE167/Field Bus1.LP12.LP1-SC,AO:3005755,,,1091.0,318.0,1073.8,311.0,34.5,14.0,69.94,37.86,,
205,Value Display,NAE45/Programming.Weather Station.OADB-T,AV:3021782,,,730.0,91.0,709.5,82.0,41.1,18.0,46.79,10.83,,Point on NAE45 (outside the five controllers)
