Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
338,Value Display,NAE6/Field Bus1.FEC-TF.Parameters.TW2-AVG-TWRT,AV:3055298,,,1112.0,747.5,1092.5,737.5,39.0,20.0,64.13,93.79,,
339,Value Display,NAE6/Field Bus1.FEC-CH2.Parameters.CH2-LOAD,AV:3054635,,,208.4,276.5,180.4,269.2,56.1,14.6,12.02,34.69,,
340,Value Display,NAE6/Field Bus1.FEC-CH1.CH1TW-V,AO:3052829,,,121.0,425.5,93.0,419.7,55.9,11.6,6.98,53.39,,
341,Value Display,NAE6/Field Bus1.FEC-LP.LP6-VLV,BO:3054405,,,963.0,129.5,948.2,123.2,29.6,12.5,55.54,16.25,,
342,Value Display,NAE6/Field Bus1.CGM-CH9.CH9-ENABLE,BO:3095996,,,593.0,417.0,577.7,411.9,30.5,10.2,34.2,52.32,,
343,Value Display,NAE6/Field Bus2.FEC-CH6.CH6-F,AI:3026951,,,1283.0,212.5,1263.5,205.0,39.0,15.0,73.99,26.66,,
344,Value Display,NAE6/Field Bus1.FEC-CH3.CH3TWR-T,AI:3052943,,,348.0,450.5,332.8,443.2,30.4,14.5,20.07,56.52,,
345,Value Display,NAE6/Field Bus2.LP6-KW.AI-5,AI:3029422,,,914.0,149.5,899.4,141.5,29.2,16.0,52.71,18.76,,
346,Value Display,NAE6/Field Bus1.FEC-LP.LP3-SS,BO:3052989,,,746.0,177.5,731.2,171.2,29.6,12.5,43.02,22.27,,
347,Value Display,NAE6/Field Bus2.CH7-BACnet.AV-5,AV:3038575,,,1479.0,217.5,1466.4,210.4,25.1,14.2,85.29,27.29,,
348,Text Label,,,Drain,,456.0,728.5,443.0,721.5,26.0,14.0,26.3,91.41,,
349,Value Display,NAE6/Field Bus1.FEC-CH1.CH1TWR-T,AI:3052822,,,109.0,450.5,93.8,443.2,30.4,14.5,6.29,56.52,,
350,Value Display,NAE6/Field Bus1.FEC-CH3.Parameters.Alarm Reset,MV:3054674,,,372.0,335.5,358.8,330.0,26.5,11.0,21.45,42.1,,
351,Value Display,NAE6/Field Bus1.FEC-LP.LP2-VLV,BO:3052975,,,692.0,129.5,677.2,123.2,29.6,12.5,39.91,16.25,,
352,Value Display,NAE6/Field Bus1.FEC-CH4.CH4TWR-T,AI:3052958,,,462.0,450.5,446.8,443.2,30.4,14.5,26.64,56.52,,
353,Value Display,NAE6/Field Bus1.CGM-CH9.Parameters.CH9-%LOAD,AV:3096013,,,576.1,327.5,552.0,320.9,48.2,13.1,33.22,41.09,,
354,Value Display,NAE6/Field Bus1.FEC-TF.Parameters.TW2-AVG-TWST,AV:3055312,,,1066.0,691.5,1046.5,681.5,39.0,20.0,61.48,86.76,,
355,Value Display,NAE6/Field Bus2.FEC-CH6.CH6TWS-T,AI:3026952,,,1181.0,447.5,1165.8,440.2,30.4,14.5,68.11,56.15,,
356,Value Display,NAE6/Field Bus1.FEC-LP.LP7-SC,AO:3054401,,,972.0,191.5,957.2,185.2,29.6,12.5,56.06,24.03,,
357,Value Display,NAE6/Field Bus1.FEC-TP.Parameters.TW1-MU-GPM-WSP,AV:3055214,,,754.0,719.5,733.3,713.2,41.5,12.5,43.48,90.28,,
358,Value Display,NAE6/Field Bus1.FEC-TP.TW-V4,BO:3091829,,,543.0,748.5,525.1,743.6,35.7,9.8,31.31,93.91,,
359,Value Display,NAE6/Field Bus2.CH8-BACnet.AV-18,AV:3038675,,,1623.0,308.5,1610.4,301.4,25.1,14.2,93.6,38.71,,
360,Value Display,NAE45/Programming.LBCS.Data Points.CH-SEQ,AV:3006658,,,436.0,32.5,418.3,23.5,35.4,18.1,25.14,4.08,,Point on NAE45 (outside the five controllers)
361,Value Display,NAE6/Field Bus1.FEC-TF.TW3S-T,AI:3052871,,,386.0,672.5,371.2,665.2,29.6,14.5,22.26,84.38,,
362,Value Display,NAE6/Field Bus1.FEC-TF.TF5-SC,AO:3054424,,,1168.0,543.5,1153.2,537.2,29.6,12.5,67.36,68.19,,
363,Value Display,NAE6/Field Bus1.FEC-CH3.CP3-SS,BO:3054327,,,320.0,208.5,306.6,203.4,26.8,10.2,18.45,26.16,,
364,Value Display,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-RDY-TO-RUN,MV:3027149,,,1624.0,422.5,1607.9,415.2,32.2,14.5,93.66,53.01,,
365,Value Display,NAE6/Field Bus1.FEC-TF.TWBYP-V,AO:3052891,,,879.0,655.5,850.1,648.6,57.8,13.8,50.69,82.25,,
366,Value Display,NAE6/Field Bus1.FEC-CH2.CH2TW-V,AO:3052935,,,235.0,427.5,207.0,421.7,55.9,11.6,13.55,53.64,,
