Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
163,Value Display,NAE189/Field Bus1.GTP-AH3.CLG-O,AO:3003010,,,1398.5,527.0,1380.5,520.4,36.1,13.2,93.05,68.62,,
164,Value Display,NAE189/Field Bus1.GTP-CH4.CH4-CP4-SC,AO:3002872,,,656.5,612.0,638.5,605.4,36.1,13.2,43.68,79.69,,
165,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW8S-T,AI:3003209,,,1157.5,165.0,1140.7,157.7,33.6,14.5,77.01,21.48,,
166,Value Display,NAE189/Field Bus1.GTP-TRT48.TW48-CHMP-SC,AO:3002984,,,1224.5,300.0,1209.5,293.4,30.0,13.2,81.47,39.06,,
167,Value Display,NAE189/Field Bus1.GTP-AH5.AH5 ZN-T,AI:3002999,,,360.5,327.4,345.9,318.8,29.2,17.2,23.99,42.63,,
168,Value Display,NAE189/Field Bus1.GTP-TRT23.TW23-PH,AI:3002520,,,438.5,158.0,416.6,151.7,43.8,12.6,29.17,20.57,,
169,Value Display,NAE189/Field Bus1.GTP-TOWER48.TF4-SS,BO:3003194,,,584.5,32.0,566.5,25.4,36.1,13.2,38.89,4.17,,
170,Value Display,NAE189/Field Bus1.GTP-BP.BCW-F1,AI:3002507,,,1291.6,553.2,1273.8,547.5,35.8,11.5,85.94,72.04,,
171,Value Display,NAE189/Field Bus1.GTP-CH1.Parameters.CH1-eRATE,AV:3002787,,,82.5,526.0,70.5,519.8,24.0,12.5,5.49,68.49,,
172,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW6S-T,AI:3003207,,,885.5,165.0,868.7,157.7,33.6,14.5,58.92,21.48,,
173,Value Display,NAE189/Field Bus1.GTP-TRT48.TW48-BLW-F,AI:3006840,,,573.5,220.0,556.2,215.0,34.5,10.0,38.16,28.65,,
174,Value Display,NAE189/Field Bus1.GTP-TRT23.TW23-BLWDWN,BO:3002524,,,51.5,307.0,34.5,300.7,34.0,12.6,3.43,39.97,,
