Controller,Object Name,Object Identifier,Display Name,Description
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-LOAD,AV:3027162,ECP.CH8-LOAD,CH8 Production Load
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-LP-START,BV:3091614,CH8-LP-START,CS Output (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-OA-STRT,BV:3091623,CH8-OA-STRT,Output (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-OASTRT-DF,AV:3027147,CH8-OASTRT-DF,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-OASTRT-SP,AV:3027151,CH8-OASTRT-SP,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-OPR-ENB,MV:3027144,CH8-OPR-ENB,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-RDY-TO-RUN,MV:3027149,CH8-RDY-TO-RUN,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-SCC-ENB,MV:3040745,CH8-SCC-ENB,CS Output (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-sRATE,AV:3027160,CH8-sRATE,CH8 Compressor Lb/Ton
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-STMPSTRT-DF,AV:3027143,CH8-STMPSTRT-DF,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-STMPSTRT-SP,AV:3027142,CH8-STMPSTRT-SP,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-TP-START,BV:3091613,CH8-TP-START,CS Output (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-TW-LOAD,AV:3091611,CH8-TW-LOAD,Output (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8-TWVLV-SP,AV:3027146,CH8-TWVLV-SP,CH8 Tower Valve Setpoint
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH8TW-V-CIRC-ONDLY,AV:3104508,CH8TW-V-CIRC-ONDLY,
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CH-SEQ,AV:3027176,CH-SEQ,Chiller Sequence
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CHLR-ON,MV:3027158,CHLR-ON,CH8 On
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CHLR-STR,MV:3027172,CHLR-STR,CH8 FEC Logic Start Command
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CHLRS ON,AV:3027157,CHLRS ON,ECCP number of Chiller On
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CHRT-SP1,AV:3027138,CHRT-SP1,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CHRT-SP2,AV:3027137,CHRT-SP2,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CHTWV-OU,AV:3027166,CHTWV-OU,CH8 Tower Valve FEC Output
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CHx Alarm In,MV:3027168,CHx Alarm In,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CHx NDX-SS,MV:3027154,CHx NDX-SS,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CPSC-OU1,AV:3027136,CPSC-OU1,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CPSC-OU2,AV:3027139,CPSC-OU2,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.CSYSENB,MV:3027173,CSYSENB,CH8 System Enable
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.ECP8-NDX,AV:3027171,ECP8-NDX,CH8 NDX Number
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.NDX-SS,BV:3091615,NDX-SS,Output (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.OADB-T,AV:3027152,OADB-T,OA Dry Bulb Temp
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.STM WARM UP TIME,AV:3036397,STM WARM UP TIME,Use Attribute String
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.TOT-CHLD,AV:3027153,TOT-CHLD,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.TOWER-CIRC,BV:3091612,TOWER-CIRC,CS Input (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-CH8.Parameters.TP-DELAYOFF,AV:3027167,TP-DELAYOFF,Use Attribute String
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.CH7-SCC-ENB,MV:3045914,CH7-SCC-ENB,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.CH8-SCC-ENB,MV:3045912,CH8-SCC-ENB,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC1-P1SS-HWO,MV:3045908,SCC1-P1SS-HWO,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC1-P2SS-HWO,MV:3045907,SCC1-P2SS-HWO,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC1-PID-HIL,AV:3045948,SCC1-PID-HIL,Use Attribute String
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC1-PID-LOL,AV:3045947,SCC1-PID-LOL,Use Attribute String
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC2-P1SS-HWO,MV:3045905,SCC2-P1SS-HWO,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC2-P2SS-HWO,MV:3045906,SCC2-P2SS-HWO,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC2-PID-HIL,AV:3045950,SCC2-PID-HIL,Use Attribute String
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC2-PID-LOL,AV:3045949,SCC2-PID-LOL,Use Attribute String
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-1 AVAILABLE,MV:3045911,SCC-1 AVAILABLE,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-1 CW-VLV ABSEFFORT,AV:3045918,SCC-1 CW-VLV ABSEFFORT,Absolute EWMA Effort
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-1 CW-VLV ABSERROR,AV:3045917,SCC-1 CW-VLV ABSERROR,Absolute EWMA Error
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-1 CW-VLV ERROR,AV:3045919,SCC-1 CW-VLV ERROR,EWMA Error
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-1 CW-VLV EWMA,AV:3045920,SCC-1 CW-VLV EWMA,EWMA Present Value
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-1 CW-VLV SL-OUTSTATE,MV:3045916,SCC-1 CW-VLV SL-OUTSTATE,State
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-1 CW-VLV TUNING-RESET,BV:3045915,SCC-1 CW-VLV TUNING-RESET,Application Tuning Reset
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-1 CW-VLV-SP,AV:3045921,SCC-1 CW-VLV-SP,Sideloop Pressure Setpoint
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-2 AVAILABLE,MV:3045913,SCC-2 AVAILABLE,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-2 CW-VLV ABSEFFORT,AV:3045925,SCC-2 CW-VLV ABSEFFORT,Absolute EWMA Effort
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-2 CW-VLV ABSERROR,AV:3045924,SCC-2 CW-VLV ABSERROR,Absolute EWMA Error
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-2 CW-VLV ERROR,AV:3045926,SCC-2 CW-VLV ERROR,EWMA Error
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-2 CW-VLV EWMA,AV:3045927,SCC-2 CW-VLV EWMA,EWMA Present Value
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-2 CW-VLV SL-OUTSTATE,MV:3045923,SCC-2 CW-VLV SL-OUTSTATE,State
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-2 CW-VLV TUNING-RESET,BV:3045922,SCC-2 CW-VLV TUNING-RESET,Application Tuning Reset
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-2 CW-VLV-SP,AV:3045928,SCC-2 CW-VLV-SP,Sideloop Pressure Setpoint
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-CW-LOAD,AV:3045909,SCC-CW-LOAD,CS Output (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.Parameters.SCC-PUMP-SELECT,MV:3045910,SCC-PUMP-SELECT,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC1-CW-VLV,AO:3045902,ECP.SCC1-CW-VLV,SCC-1 Chilled Water Valve Output
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC1-LOLVL,BI:3045888,ECP.SCC1-LOLVL,SCC-1 Tank Low Level Alarm
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC1-P,AI:3045892,ECP.SCC1-P,SCC-1 Process Water Pressure
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC1-P1-S,BI:3045894,ECP.SCC1-P1-S,SCC-1 Pump 1 Status
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC1-P1-SS,BO:3045898,ECP.SCC1-P1-SS,SCC-1 Pump 1 Start/Stop
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC1-P2-S,BI:3045895,ECP.SCC1-P2-S,SCC-1 Pump 2 Status
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC1-P2-SS,BO:3045899,ECP.SCC1-P2-SS,SCC-1 Pump 2 Start/Stop
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC1-PWS-T,AI:3045891,ECP.SCC1-PWS-T,SCC-1 Process Water Supply Temperature
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC2-CW-VLV,AO:3045903,ECP.SCC2-CW-VLV,SCC-2 Chilled Water Valve Output
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC2-LOLVL,BI:3045889,ECP.SCC2-LOLVL,SCC-2 Tank Low Level Alarm
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC2-P,AI:3045893,ECP.SCC2-P,SCC-2 Process Water Pressure
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC2-P1-S,BI:3045896,ECP.SCC2-P1-S,SCC-2 Pump 1 Status
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC2-P1-SS,BO:3045900,ECP.SCC2-P1-SS,SCC-2 Pump 1 Start/Stop
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC2-P2-S,BI:3045897,ECP.SCC2-P2-S,SCC-2 Pump 2 Status
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC2-P2-SS,BO:3045901,ECP.SCC2-P2-SS,SCC-2 Pump 2 Start/Stop
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC2-PWS-T,AI:3045890,ECP.SCC2-PWS-T,SCC-2 Process Water Supply Temperature
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC-CW-F,AI:3045887,ECP.SCC-CW-F,"3"" SCC Chilled Water Flow"
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC-CWR-T,AI:3045886,ECP.SCC-CWR-T,SCC Chilled Water Supply Temperature
ECCP-NAE6,NAE6/Field Bus2.FEC-SCC.SCC-CWS-T,AI:3045885,ECP.SCC-CWS-T,SCC Chilled Water Supply Temperature
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.ACID2-S,BI:3029201,ECP.TW2-ACID-S,
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.ACID2-SC,AO:3049254,ECP.TW2-ACID-SC,Tower 2 Acid Pump Speed Control
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.ACID2-SS,BO:3049253,ECP.TW2-ACID-SS,Tower 2 Acid Pump Start/Stop
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.BIOCIDE2-S,BI:3029203,ECP.TW2-NONOX-S,
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.BLWDWN2-S,BI:3029191,ECP.TW2-BLWDWN-S,Tower Blow Down Status
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.BROMINE2-S,BI:3029202,ECP.TW2-OX-S,Tower 2 Oxidizer Status
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.CHEM-DP2,AI:3029195,ECP.TW2-CHEM-DP,Chem Treatment System Diff Press
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.CL17-FCL-OUT,AO:3073771,ECP.TW2-CL17-FCL-OUT,CL17 output to Trasar
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.INHIB2-S,BI:3029200,ECP.TW2-INHIB-S,
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.ANYTP-ON,BV:3098946,ANYTP-ON,CS Input (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.Evaporation,AV:3109481,Evaporation,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.Tower Blow Down SL-OUTSTATE,MV:3109491,Tower Blow Down SL-OUTSTATE,State
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-ACID-ENB,MV:3049725,TW2-ACID-ENB,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-ACID-RESET,MV:3051034,TW2-ACID-RESET,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-ACID-TIME,AV:3049726,TW2-ACID-TIME,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLDWN-ENB-SP,AV:3109487,TW2-BLDWN-ENB-SP,Output (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN TUNING-RESET,BV:3109490,TW2-BLWDWN TUNING-RESET,Application Tuning Reset
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-COND-DF,AV:3098947,TW2-BLWDWN-COND-DF,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-COND-SP,AV:3098944,TW2-BLWDWN-COND-SP,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-ENABLE,BV:3109488,TW2-BLWDWN-ENABLE,Output (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-HIL,AV:3109493,TW2-BLWDWN-HIL,
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-LOCKOUT,BV:3098948,TW2-BLWDWN-LOCKOUT,CS Input (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-LOL,AV:3109492,TW2-BLWDWN-LOL,
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-PB,AV:3109494,TW2-BLWDWN-PB,
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-PREBLEED,BV:3098945,TW2-BLWDWN-PREBLEED,CS Input (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-SP-Calc,AV:3109489,TW2-BLWDWN-SP-Calc,Output (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-SP-HIL,AV:3109483,TW2-BLWDWN-SP-HIL,
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-BLWDWN-WSP,AV:3109484,TW2-BLWDWN-WSP,Blow Down Flow Working Setpoint
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-CoC,AV:3109486,TW2-CoC,Output (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-CoC-SP,AV:3109485,TW2-CoC-SP,Output (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-OX-FEED,BV:3100653,TW2-OX-FEED,CS Input (Boolean)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-OX-LOCK,MV:3100654,ECP.TW2-OX-LOCK,CS Output (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-OX-RESET,MV:3100652,TW2-OX-RESET,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW2-OX-RUNTIME,AV:3100651,TW2-OX-RUNTIME,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW-LOLVL2,MV:3029986,TW-LOLVL2,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TW-LVL2,AV:3029987,TW-LVL2,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TWBP2 User Enable,MV:3029985,TWBP2 User Enable,CS Input (Enum)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.TWBP2-SC-SP,AV:3029984,TWBP2-SC-SP,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.Parameters.Well Water Cond,AV:3109482,Well Water Cond,CS Input (Float)
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TW2-BLWDWN,AO:3109480,ECP.TW2-BLWDWN,Modulating Tower Blow Down Valve
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TW2-OX-SS,BO:3086792,ECP.TW2-OX-SS,Tower 2 OX Pump Relay
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TW-BLW2-F,AI:3029192,ECP.TW2-BLW-F,"2"" Tower Blow Down Flow"
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TW-COND2,AI:3029198,ECP.TW2-COND,Tower Water Conductivity
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TW-FCL2,AI:3029206,ECP.TW2-FCL,Tower Free Chlorine Level
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TW-ORP2,AI:3029199,ECP.TW2-ORP,Tower Water ORP
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TW-PH2,AI:3029197,ECP.TW2-PH,Tower Water pH
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TWBP2-F,AI:3029193,ECP.TW2-TWBP-F,Basin Htg HX HW Flow
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TWBP2-S,BI:3029194,ECP.TW2-TWBP-S,
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TWBP2-SC,AO:3029204,ECP.TW2-TWBP-SC,TOWER HW PUMP SPEED CONTROL
ECCP-NAE6,NAE6/Field Bus2.FEC-TRT2.TWBP2-SS,BO:3029205,ECP.TW2-TWBP-SS,Tower HW Pump Start/Stop
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-1,AI:3029393,Energy delivered,Energy delivered
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-2,AI:3029392,Energy Received,Energy Received
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-3,AI:3029391,Reactive energy delivered,Reactive energy delivered
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-4,AI:3029390,Reactive energy Received,Reactive energy Received
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-5,AI:3029379,LP5 Real power,Real power
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-6,AI:3029389,Reactive power,Reactive power
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-7,AI:3029388,Apparent power,Apparent power
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-8,AI:3029387,Power factor,Power factor
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-9,AI:3029386,Peak demand,Peak demand
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-10,AI:3029385,Current average,Current average
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-11,AI:3029384,Voltage line-neutral,Voltage line-neutral
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-12,AI:3029383,Voltage line-line,Voltage line-line
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-13,AI:3029382,Frequency,Frequency
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-14,AI:3029381,Phase angle,Phase angle
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-15,AI:3029380,Real power phase A,Real power phase A
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-16,AI:3029409,Real power phase B,Real power phase B
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-17,AI:3029408,Real power phase C,Real power phase C
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-18,AI:3029407,Reactive power phase A,Reactive power phase A
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-19,AI:3029406,Reactive power phase B,Reactive power phase B
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-20,AI:3029405,Reactive power phase C,Reactive power phase C
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-21,AI:3029404,Apparent power phase A,Apparent power phase A
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-22,AI:3029403,Apparent power phase B,Apparent power phase B
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-23,AI:3029402,Apparent power phase C,Apparent power phase C
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-24,AI:3029401,Power factor phase A,Power factor phase A
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-25,AI:3029400,Power factor phase B,Power factor phase B
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-26,AI:3029399,Power factor phase C,Power factor phase C
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-27,AI:3029398,Current phase A,Current phase A
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-28,AI:3029397,Current phase B,Current phase B
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-29,AI:3029396,Current phase C,Current phase C
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-30,AI:3029395,Voltage line-neutral phase A-N,Voltage line-neutral phase A-N
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-31,AI:3029394,Voltage line-neutral phase B-N,Voltage line-neutral phase B-N
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-32,AI:3029421,Voltage line-neutral phase C-N,Voltage line-neutral phase C-N
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-33,AI:3029420,Voltage line-line phase A-B,Voltage line-line phase A-B
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-34,AI:3029419,Voltage line-line phase B-C,Voltage line-line phase B-C
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-35,AI:3029418,Voltage line-line phase C-A,Voltage line-line phase C-A
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-36,AI:3029417,Phase angle phase A,Phase angle phase A
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-37,AI:3029416,Phase angle phase B,Phase angle phase B
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-38,AI:3029415,Phase angle phase C,Phase angle phase C
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-39,AI:3029414,Reserve A,Reserve A
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-40,AI:3029413,Reserve B,Reserve B
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-41,AI:3029412,Reserve C,Reserve C
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-42,AI:3029411,External Input 1,External Input 1
ECCP-NAE6,NAE6/Field Bus2.LP5-KW.AI-43,AI:3029410,External Input 2,External Input 2
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-1,AI:3029436,Energy delivered,Energy delivered
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-2,AI:3029435,Energy Received,Energy Received
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-3,AI:3029434,Reactive energy delivered,Reactive energy delivered
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-4,AI:3029433,Reactive energy Received,Reactive energy Received
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-5,AI:3029422,LP6 Real power,Real power
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-6,AI:3029432,Reactive power,Reactive power
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-7,AI:3029431,Apparent power,Apparent power
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-8,AI:3029430,Power factor,Power factor
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-9,AI:3029429,Peak demand,Peak demand
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-10,AI:3029428,Current average,Current average
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-11,AI:3029427,Voltage line-neutral,Voltage line-neutral
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-12,AI:3029426,Voltage line-line,Voltage line-line
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-13,AI:3029425,Frequency,Frequency
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-14,AI:3029424,Phase angle,Phase angle
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-15,AI:3029423,Real power phase A,Real power phase A
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-16,AI:3029452,Real power phase B,Real power phase B
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-17,AI:3029451,Real power phase C,Real power phase C
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-18,AI:3029450,Reactive power phase A,Reactive power phase A
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-19,AI:3029449,Reactive power phase B,Reactive power phase B
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-20,AI:3029448,Reactive power phase C,Reactive power phase C
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-21,AI:3029447,Apparent power phase A,Apparent power phase A
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-22,AI:3029446,Apparent power phase B,Apparent power phase B
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-23,AI:3029445,Apparent power phase C,Apparent power phase C
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-24,AI:3029444,Power factor phase A,Power factor phase A
ECCP-NAE6,NAE6/Field Bus2.LP6-KW.AI-25,AI:3029443,Power factor phase B,Power factor phase B
