Controller,Object Name,Object Identifier,Display Name,Description
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-10,AV:3053076,CH1 ENTERING COND WATER TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-11,AV:3053075,CH1 LEAVING COND WATER TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-12,AV:3053074,CH1 MOTOR CURRENT PCT FLA,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-13,AV:3053073,CH1 PHASE A MOTOR CURRENT,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-14,AV:3053072,CH1 PHASE B MOTOR CURRENT,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-15,AV:3053071,CH1 PHASE C MOTOR CURRENT,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-19,AV:3053096,CH1 LEAVING CHW TEMP ACT SP,Actual Leaving CHWST SP
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-20,AV:3053095,CH1 MOTOR CURRENT ACTUAL SP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-21,AV:3053094,CH1 EVAP SATURATION TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-22,AV:3053093,CH1 COND SATURATION TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-23,AV:3053092,CH1 DISCHARGE TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-24,AV:3053091,CH1 OIL SUMP TEMPERATURE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-25,AV:3053090,CH1 REFRIGERANT LEVEL POS,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-26,AV:3053089,CH1 ACCUM OPERATING HOURS,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-27,AV:3053088,CH1 ACCUM SYSTEM STARTS,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-28,AV:3053087,CH1 OIL SUMP PRESSURE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-29,AV:3053086,CH1 OIL PUMP PRESSURE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-30,AV:3053085,CH1 PROX SENSOR ACT POS,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-31,AV:3053084,CH1 PROX SENSOR REF POS,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-32,AV:3053108,CH1 ANTI RECYCLE TIME REMAIN,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-33,AV:3053107,CH1 ACC MAP PRV POS,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-34,AV:3053106,CH1 VSD OUTPUT VOLTAGE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-35,AV:3053105,CH1 VSD INPUT KW,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-36,AV:3053104,CH1 VSD INPUT KWH,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-37,AV:3053103,CH1 VSD DC LINK VOLTAGE,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-38,AV:3053102,CH1 VSD DC LINK CURRENT,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-39,AV:3053101,ECCP.CH1 VSD SURGE COUNT,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-40,AV:3053100,CH1 VSD OUTPUT FREQUENCY,VFD output Hz
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-41,AV:3053099,CH1 VSD MAX VOLTAGE THD,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-42,AV:3053098,CH1 VSD MAX CURRENT TDD,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-43,AV:3053097,CH1 VSD HFILTER SUPPLY KVA,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-105,AV:3053115,CH1 MTR SHAFT END VIBR,
ECCP-NAE6,NAE6/Field Bus1.CH1-BACnet.AV-106,AV:3053114,CH1 MTR OP SHAFT END VIBR,
